"","sesID","sesType","sesPart1Len","sesPart2Len","unlockingTime"
"7425",17863,"USES",50202,51548,1.346
"7426",17865,"USES",197998,199272,1.274
"7427",17867,"USES",22175,23342,1.167
"7428",17869,"USES",168577,170977,2.4
"7429",17871,"USES",129067,130387,1.32
"7430",17873,"USES",22393,23583,1.19
"7431",17875,"USES",307167,321544,14.377
"7432",17878,"USES",15,15,0
"7433",17880,"USES",143711,146822,3.111
"7434",17882,"USES",570285,571300,1.015
"7435",17884,"USES",167412,168693,1.281
"7436",17886,"USES",25175,26946,1.771
"7437",17888,"USES",148354,149983,1.629
"7438",17890,"USES",2405766,2407928,2.162
"7439",17893,"USES",69014,71813,2.799
"7440",17895,"USES",83548,84751,1.203
"7441",17897,"USES",56116,57275,1.159
"7442",17899,"USES",798275,799525,1.25
"7443",17901,"USES",194000,195194,1.194
"7444",17903,"USES",814453,815892,1.439
"7445",17905,"USES",27080,28532,1.452
"7446",17914,"USES",16790,23125,6.335
"7447",17916,"USES",932335,933626,1.291
"7448",17918,"USES",378387,379479,1.092
"7449",17920,"USES",15747,16918,1.171
"7450",17922,"USES",466047,467024,0.977
"7451",17924,"USES",18481,19867,1.386
"7452",17926,"USES",15392,16945,1.553
"7453",17928,"USES",9072,10546,1.474
"7454",17931,"USES",633524,636158,2.634
"7455",17933,"USES",3826,6136,2.31
"7456",17936,"USES",20661,21827,1.166
"7457",17939,"USES",24941,27783,2.842
"7458",17941,"USES",307896,309079,1.183
"7459",17943,"USES",179151,180968,1.817
"7460",17945,"USES",31938,32857,0.919
"7461",17947,"USES",15293,29724,14.431
"7462",17950,"USES",7372,8765,1.393
"7463",17952,"USES",8707,9557,0.85
"7464",17954,"USES",13611,14585,0.974
"7465",17956,"USES",13652,14540,0.888
"7466",17958,"USES",11647,13076,1.429
"7467",17960,"USES",37176,38044,0.868
"7468",17962,"USES",2355,3276,0.921
"7469",17964,"USES",3590,5074,1.484
"7470",17970,"USES",30851,31883,1.032
"7471",17972,"USES",22298,23184,0.886
"7472",17975,"USES",9405,11050,1.645
"7473",17980,"USES",214499,215735,1.236
"7474",17982,"USES",201566,202616,1.05
"7475",17984,"USES",93409,94539,1.13
"7476",17986,"USES",37686,39103,1.417
"7477",17989,"USES",15855,16761,0.906
"7478",17991,"USES",46212,47183,0.971
"7479",17995,"USES",513671,515103,1.432
"7480",18004,"USES",190208,191356,1.148
"7481",18007,"USES",101751,103572,1.821
"7482",18010,"USES",642854,667764,24.91
"7483",18012,"USES",77267,78501,1.234
"7484",18014,"USES",24112,25077,0.965
"7485",18017,"USES",15445,17163,1.718
"7486",18020,"USES",6919,9292,2.373
"7487",18023,"USES",41234,42495,1.261
"7488",18025,"USES",78419,79797,1.378
"7489",18027,"USES",10907,12090,1.183
"7490",18031,"USES",4038,5223,1.185
"7491",18033,"USES",31319,32350,1.031
"7492",18035,"USES",189840,198289,8.449
"7493",18037,"USES",1113747,1114800,1.053
"7494",18039,"USES",15131,16218,1.087
"7495",18041,"USES",27257,28306,1.049
"7496",18043,"USES",77698,78834,1.136
"7497",18045,"USES",237679,239565,1.886
"7498",18048,"USES",37710,38632,0.922
"7499",18051,"USES",4598,5909,1.311
"7500",18054,"USES",33171,34440,1.269
"7501",18056,"USES",37549,38858,1.309
"7502",18058,"USES",7949,8779,0.83
"7503",18060,"USES",21921,23208,1.287
"7504",18062,"USES",20286,23277,2.991
"7505",18064,"USES",69891,71144,1.253
"7506",18066,"USES",99390,100790,1.4
"7507",18068,"USES",109235,111366,2.131
"7508",18070,"USES",56914,59415,2.501
"7509",18072,"USES",8972,11539,2.567
"7510",18074,"USES",26468,27770,1.302
"7511",18076,"USES",5775,7320,1.545
"7512",18078,"USES",55246,57678,2.432
